citeKey,filename,sourceNo,path,sourceFilePath_rel,species,genus,source_UUID,filename_drop,max_split_drop,specimenID_old,shotNo,specimenNo,view,microscopicTechnic,lens,DPI,institution,contributor,origin,digitizedDate,area_x_mm,area_y_mm,pixelSize_um_per_pixel,numericalAperature_NA,GPS_Alt,GPS_Lat,GPS_Long,sourceStoredLocally,institutionCode,samplingPoint,pixel_x,pixel_y,family,japName,specimenNo_old,order_old,section_drop,subgenus_drop,anatomy1_DS04,anatomy2_DS04,otherNo_drop,prepNo_drop,subspecies_drop,individuals_drop,n_individuals_drop,totalNumberShots,woodType,name_drop,todo_lens,filename_old,source_drop,todo_bitdepth_old,engName_old,_version_old,contributor_old,institution_old,view_old,raw_UUID
unknown,,DS11,,,PulleaGlabra,Pullea,16104,,,,2.0,2,RLS,,,1200,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Cunoniaceae,,FPAw ngf.9415,,,,,,,,,,,,Modern Hardwood,CUNONIACEAE Pullea glabra,010,1626(c).tif,Color digital original,8-bit grayscale,,1.8231847007561974e+18,Jugo Ilic,"CSIRO, Australia",radial section,r_GTgzT7
unknown,,DS11,,,CastaneaCrenata,Castanea,17119,,,,4.0,1,TS,,,1200,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Fagaceae,,FPAw 13183,,,,,,,,,,,,Modern Hardwood,FAGACEAE Castanea crenata,010,1845(a).tif,Color digital original,8-bit grayscale,JAPANESE CHESTNUT,1.8213727617763246e+18,Jugo Ilic,"CSIRO, Australia",cross section,r_clumD5
unknown,,DS11,,,AphanamixisPolystachya,Aphanamixis,18140,,,,2.0,2,TS,,,1200,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Meliaceae,,FPAw ngf.3859,,,,,,,,,,,,Modern Hardwood,MELIACEAE Aphanamixis polystachya,010,2224(a).tif,Color digital original,8-bit grayscale,,1.8216445685174108e+18,Jugo Ilic,"CSIRO, Australia",cross section,r_eonhJq
unknown,,DS11,,,EucalyptusBridgesiana,Eucalyptus,19137,,,,4.0,1,TS,,,1200,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Myrtaceae,,FPAw 2183,,,,,,,,,,,,Modern Hardwood,MYRTACEAE Eucalyptus bridgesiana,010,2369(a).tif,Color digital original,8-bit grayscale,,1.821644568437719e+18,Jugo Ilic,"CSIRO, Australia",cross section,r_PIyhm1
unknown,,DS11,,,PapilionoideaeButeaMonosperma,Papilionoideae,20066,,,,1.0,3,RLS,,,1200,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Leguminosae,,FPAw 12109,,,,,,,,,,,,Modern Hardwood,LEGUMINOSAE PAPILIONOIDEAE Butea monosperma,010,2059(c).tif,Color digital original,8-bit grayscale,FLAME-OF-THE-FOREST,1.8231847010110013e+18,Jugo Ilic,"CSIRO, Australia",radial section,r_ntxPEW
unknown,,DS11,,,MischocarpusSp.,Mischocarpus,21081,,,,4.0,1,TS,,,1200,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Sapindaceae,,FPAw 11048,,,,,,,,,,,,Modern Hardwood,SAPINDACEAE Mischocarpus sp.,macro,1126.tif,Color digital original,24-bit color,,1.8216445684786135e+18,Jugo Ilic,"CSIRO, Australia",cross section,r_KLJTge
unknown,,DS11,,,TrichiliaMicrantha,Trichilia,22050,,,,1.0,3,TS,,,300,"Naturalis Biodiversity Center, The Netherlands",L.Y.T. Westra,,2005-08-01T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NBC,,,,Meliaceae,,Uw 3353,,,,,,,,,,,,Modern Hardwood,MELIACEAE Trichilia micrantha,005,Uw_3353_5x.tif,Color digital original,24-bit color,,1.8216445684125532e+18,L.Y.T. Westra,Naturalis Biodiversity Center,cross section,r_xUk51Y
unknown,,DS11,,,DeherainiaSmaragdina,Deherainia,22843,,,,2.0,1,RLS,,,9999,"Laboratory of Plant Systematics, K.U.Leuven, Belgium",Frederic Lens,,2005-10-06T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,Leuven,,,,Primulaceae,,BR 1972-6256,,,,,,,,,,,,Modern Hardwood,PRIMULACEAE Deherainia smaragdina,004,Deherainia smaragdina3.tif,Color digital original,unknown,,1.8231847012018422e+18,Frederic Lens,"Laboratory of Plant Systematics, K.U.Leuven",radial section,r_JLmj4p
unknown,,DS11,,,SyzygiumHemilamprum,Syzygium,23751,,,,1.0,1,TS,,,600,"CSIRO, Australia",H.E. Dadswell,,2005-12-13T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Myrtaceae,,FPAw 399,,,,,,,,,,,,Modern Hardwood,MYRTACEAE Syzygium hemilamprum,unknown,FPAw_399_xa_unk.tif,B & W negative,8-bit grayscale,KELAT,1.8216445683978732e+18,H.E. Dadswell,"CSIRO, Australia",cross section,r_S8eX8L
unknown,,DS11,,,MagnoliaTsiampaccaTsiampacca,Magnolia,24563,,,,3.0,3,RLS,,,72,"Wood Biology, University of Hamburg, Germany",H.G. Richter,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,BFH.UH,,,,Magnoliaceae,,RBHw 17584,,,,,,,,,,,,Modern Hardwood,MAGNOLIACEAE Magnolia tsiampacca tsiampacca,unknown,RBHw_17584_ra_unk.tif,Color digital original,8-bit RGB color,,1.8231846978820506e+18,H.G. Richter,"Wood Biology, University of Hamburg",radial section,r_1amUxx
